"HMDB.ID","Sub_Class","Class"
"HMDB00393","Fatty acids and conjugates","Fatty Acyls"
"HMDB00394","Fatty acids and conjugates","Fatty Acyls"
"HMDB00395","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00396","Fatty acids and conjugates","Fatty Acyls"
"HMDB00397","Benzoic acids and derivatives","Benzene and substituted derivatives"
"HMDB00398","Medium-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00399","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00400","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00401","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00402","Fatty acids and conjugates","Fatty Acyls"
"HMDB00403","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00404","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00405","Estrane steroids","Steroids and steroid derivatives"
"HMDB00406","Estrane steroids","Steroids and steroid derivatives"
"HMDB00407","Fatty acids and conjugates","Fatty Acyls"
"HMDB00408","Short-chain keto acids and derivatives","Keto acids and derivatives"
"HMDB00409","Fatty acids and conjugates","Fatty Acyls"
"HMDB00410","Fatty acids and conjugates","Fatty Acyls"
"HMDB00411","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00412","Androstane steroids","Steroids and steroid derivatives"
"HMDB00413","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00414","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00415","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00416","Sulfated steroids","Steroids and steroid derivatives"
"HMDB00417","Diterpenoids","Prenol lipids"
"HMDB00418","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00419","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00421","Fatty acids and conjugates","Fatty Acyls"
"HMDB00422","Fatty acids and conjugates","Fatty Acyls"
"HMDB00423","","Phenylpropanoic acids"
"HMDB00424","Medium-chain hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00425","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00426","Fatty acids and conjugates","Fatty Acyls"
"HMDB00427","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00428","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00429","Estrane steroids","Steroids and steroid derivatives"
"HMDB00430","Vitamin D and derivatives","Steroids and steroid derivatives"
"HMDB00431","Estrane steroids","Steroids and steroid derivatives"
"HMDB00432","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00433","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00434","Methoxybenzenes","Benzene and substituted derivatives"
"HMDB00437","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00438","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00439","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00440","1-hydroxy-4-unsubstituted benzenoids","Phenols"
"HMDB00442","Beta hydroxy acids and derivatives","Hydroxy acids and derivatives"
"HMDB00444","Furoic acid and derivatives","Furans"
"HMDB00445","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00446","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00447","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00448","Fatty acids and conjugates","Fatty Acyls"
"HMDB00449","Hydroxysteroids","Steroids and steroid derivatives"
"HMDB00450","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00451","Alcohols and polyols","Organooxygen compounds"
"HMDB00452","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00453","Delta valerolactones","Lactones"
"HMDB00455","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00458","Androstane steroids","Steroids and steroid derivatives"
"HMDB00459","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00460","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00462","Imidazoles","Azoles"
"HMDB00464","","Homogeneous alkaline earth metal compounds"
