"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
NA,62,NA,351,940,5395,599,814,2047,1768,2775,115,1671,NA,636,336,NA,834,NA,217,4233,1886,162,81,NA,15,598,NA,1053,450,402,1705,NA,1466,1118,750,779,3021,4806,8259,135,29557,999,27736,NA,15,168,357,101,4043,648,380,116,22496,8706,258,438,NA,1716,658,64,399,313,10108,3145,5917,1349,11646,NA,468,1276,14206,NA,NA,10339,6224,9094,NA,24040,507,3,350,2,58,491,1224,NA,NA,NA,302,1213,NA,NA,NA,8250,16082,NA,NA,NA,39150,386,NA
148,363,940,597,14624,8833,3731,323,5680,4215,3761,281,18593,76,4211,7958,69,19696,NA,740,6124,8421,437,856,482,119,4013,34,1610,404,953,2285,225,1626,996,2624,16349,16494,11619,44524,1955,25567,13693,22082,NA,24,6304,80,213,10002,108,9319,11093,47942,25196,1656,3700,NA,2478,1942,398,977,NA,12276,37375,6440,2011,8904,475,668,NA,131807,251,1467,24120,8086,15445,140,2054,8275,95,6559,1436,NA,1080,487,1,NA,NA,873,524,263,NA,205,16636,40193,NA,NA,NA,70443,84,2734
NA,27,3,NA,NA,1848,72,9276,22,4586,525732,59,113,NA,NA,891,NA,4932,1279,NA,500,NA,NA,NA,NA,4561,1882,NA,NA,62,756,1637,1,208,NA,23,1849,69368,18038,NA,NA,21311,NA,38278,7724,NA,1153,NA,NA,492,4490,1,961,47,6739,NA,NA,51887,31082,176,1265887,1982,5167,6594,2803,11445,210363,1393,NA,NA,5188,52464,NA,46,9998,15875,6927,435,4681,5896,NA,19327,NA,953,1214,78,NA,NA,NA,NA,28675,227358,NA,15929,7148,67526,3524,NA,NA,5526,NA,5976
954,6930,2080,459,1420,25897,12395,82796,5882,59670,4213406,6652,19203,NA,1162,16086,379,58297,26415,5582,15663,1170,5111,5956,1722,53473,61537,2540,1783,7062,3761,22545,3207,9265,1523,5977,49601,489250,165074,301,6117,158263,2273,239517,9599,2387,3835,3316,874,34470,45615,857,19711,10017,82550,4178,3295,487404,242795,3471,10326076,38221,111547,53529,59707,109886,1949735,49754,9066,2038,61612,422762,2054,6245,96895,157369,91140,18428,55388,59402,1583,85078,1580,5471,17217,316,1557,NA,NA,2655,281328,1898040,1091,130928,31584,566507,38978,489,1258,67008,14236,98769
4244,6558,3713,1447,17340,55098,27903,5172,34611,144985,15824,12623,3042,3495,20462,22164,285,216226,14894,4279,42963,3273,2775,7916,13897,4495,110334,9583,3902,35305,16168,38997,16028,40288,6260,8431,18257,3695,83745,5928,55299,304433,14082,78300,9242,38165,42199,8964,68892,71595,6632,18712,921,30600,173502,12954,11542,8616,11294,51961,140196,7164,993,163552,77123,47332,482616,32903,19041,64846,219524,10149,9787,4255,239069,49358,182815,30617,78894,27304,17728,20750,9482,6319,1866,12341,2251,3468,1466,25008,5879,7940,2208,663214,167856,50543,913,437,28930,506031,14979,1939
8670,96493,1545,4315,3006,38783,20004,3763,47721,154722,40655,649,31880,1324,2048,512070,834,200513,16469,1145,20392,6892,3286,471,30974,2517,8930,1800,4499,18914,3461,1409,2075,3087,26804,3903,54137,3564,73772,6300,13627,349591,3359,103203,20861,2657,14001,3563,26758,265842,13172,26406,506,12743,528058,280180,8843,4794,11690,189261,425328,58603,40694,179841,4798,43135,68701,24449,31527,598388,2621,558603,381,2104,561704,14661,57852,28140,86977,154720,1062,62169,9271,8623,4710,2808,26993,2615,1025,486,32275,7206,11163,10872,23514,94166,77,1403,774,912421,497,NA
554,3409,68,114,164,1958,1048,232,2416,7292,1764,175,1741,NA,25,25701,114,10159,669,105,1000,373,83,33,1558,87,495,30,77,930,252,94,NA,121,1650,312,2694,164,3336,47,33,14839,836,4259,414,306,902,67,1051,14886,719,864,NA,1283,26783,14947,729,510,844,8946,19639,2838,2138,7778,109,2193,3428,1004,1620,29282,NA,28091,33,179,31033,803,2675,1511,3934,8061,96,2695,279,535,637,201,1406,171,NA,200,1705,244,869,667,970,3554,65,58,52,48593,125,44
16762,9050,12062,38949,10952,166774,174242,3766530,101922,125389,12965399,9797,914285,13175,9272,176927,38258,6412094,42769,33956,64914,10995,42598,85646,25222,14119,15268201,19393,25695,87135,44950,1372617,99773,26825,49216,46396,5569690,10232296,9690920,143879,116312,8768961,737726,22677250,2652220,19433,378282,4685,13775,2476899,298397,90754,7743834,309482,4981902,79707,180974,15844860,3723463,42576,131326,383905,157152,4649692,5405398,10915698,395492,2494425,269584,31925,64862,30203065,54624,50307,9692939,295733,634433,951931,1890813,7659788,14403,5504199,16806,32180,26913,10705,14859,5902,17110,15363,32660,11732305,40322,1113270,42289282,8547044,56790,130626,21858,9304894,389104,37873753
920,410,481,3761,292,19486,17313,530270,11240,13789,1786520,418,115646,NA,406,20458,3430,885032,2627,3460,6404,108,4176,9518,2406,1210,2155561,1484,1753,8723,4227,179767,12463,1466,4685,4356,761587,1413546,1385313,18301,14127,1228012,97959,3298882,351010,1266,44332,67,807,314803,37798,9354,1125689,38143,692608,8763,21304,2198546,510684,4869,14906,45925,18639,646323,743051,1561031,50681,338522,32254,3840,5625,4563331,5796,6129,1375404,31678,80323,123198,256075,1108243,1084,763965,1328,2585,2070,458,1110,77,1310,1286,2509,1664967,3728,148176,6157774,1200639,5516,14769,1815,1296827,48450,5877098
856,36,NA,249,NA,5873,630,58,542,NA,NA,1053,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,1563,109,145,NA,NA,54,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,57,427,NA,538,NA,442,4120,4790,293,NA,NA,2139,1267,34,NA,NA,NA,NA,NA,NA,NA,3282,NA,NA,156,3272,NA,33,NA,NA,NA,NA,2808,954,NA,3317,3359,244,390,1334,NA,1567,1926,NA,72,2356,NA,NA,NA,272,413,3523,NA,1347,NA,3138,98,1321,4908,NA
