"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
8331,NA,143464,604,NA,NA,NA,NA,158879,8327,114867,NA,1027,NA,NA,58859,1541,9831,NA,NA,NA,30422,NA,NA,NA,NA,1211352,NA,NA,NA,NA,NA,NA,1360,44600,NA,4045,273288,NA,NA,NA,NA,322,50278,108236,NA,2162,NA,NA,NA,19428,NA,75578,20814,24386,32493,7856,50881,41791,29,NA,25647,177465,173,NA,833923,55499,4111,70930,NA,19102,77952,701,29136,NA,74402,14272,NA,18996,166242,NA,173709,NA,NA,11996,NA,100719,NA,NA,NA,37059,24574,NA,45222,605731,1235,12538,13882,511624,58616,NA,NA
30163,1323,109757,NA,NA,41,NA,1438,198050,899,150473,9028,10147,NA,NA,114008,2536,6917,872,NA,1584,61497,1029,NA,NA,NA,1621188,NA,NA,NA,NA,NA,NA,1699,101398,NA,16393,416267,NA,NA,NA,NA,NA,36561,176334,NA,NA,NA,NA,936,28363,1121,170247,35997,56299,31754,9963,92634,27681,NA,NA,60516,316584,NA,NA,1134642,77720,31958,120804,NA,26461,115124,4023,50295,NA,107746,13901,NA,15906,248743,NA,266776,456,NA,43307,NA,162572,NA,NA,NA,84171,24851,NA,59436,930772,7263,18852,47772,690252,103689,NA,1330
401,697,242,686,358,819,956,133,623,701,211,856,1366,107,803,1534,151,494,670,391,258,732,1052,731,35,6,627,144,NA,112,467,1141,351,625,130,602,1159,992,167,459,469,629,837,639,1290,56,370,60,788,1785,1092,NA,166,843,1999,301,504,102,259,151,22,1289,101,720,228,422,604,1881,1327,257,500,271,79,24,255,927,724,1409,155,347,342,291,729,741,911,616,639,128,549,539,1064,1133,1149,1089,1604,1106,50,1041,299,781,851,121
655,266,663,901,627,NA,1638,1486,354,NA,NA,356,327,233,378,452,534,NA,974,564,296,252,NA,NA,251,313,680,315,262,NA,106,383,1062,209,NA,662,NA,381,1248,205,460,720,NA,NA,457,1249,408,NA,519,1322,438,9,901,NA,596,NA,432,NA,NA,1105,163,325,846,17,720,1090,460,112,391,174,373,7,667,NA,NA,328,NA,539,892,732,353,797,NA,271,NA,542,1184,NA,NA,733,820,NA,NA,NA,773,NA,87,398,284,NA,375,NA
906,86,1181,975,1158,1815,729,1703,102,1417,1424,1386,34,1756,174,1792,1501,NA,478,1310,954,2344,170,1421,1182,971,180,1019,186,1471,1344,44,816,2375,1608,1497,5023,628,1754,392,1425,1869,3168,1206,7869,89,4416,1333,753,5876,851,366,1040,3103,1458,379,175,1355,1639,17,1693,313,6183,1675,1444,1320,3299,191,2964,1248,2908,682,579,1093,139,828,1385,2498,2170,261,312,1440,995,707,2462,3735,1932,2014,3459,1555,3054,3214,1704,1118,1064,2505,842,5100,3127,2822,1358,4192
17442,828,371,2211,10219,2302,1377,4090,2672,30432,7413,1620,765,2621,99,NA,113,411895,1332,770,5951,663,1837,1749,121,1147,19492,283,2303,641,10693,58172,64,4206,2643,2451,2127,12279,421,1013,743,2408,NA,3496,89916,NA,12302,308,273,11632,226,3443,2024,275,114,389,23301,479,1991,4765,62,1372,NA,1662,288935,737,3008,NA,4143,1333,169,6938,6998,568,2266,3786,205213,3472,9316,NA,377,1828,278,168,543,14312,NA,207,814,668,3216,2489,682,362,29316,148,333,119,97,2788,152057,164452
NA,846,150,1189,90,NA,259,604,1060,376,2392,560,351,230,905,1312,92,94,5283,81,598,NA,105,736,3378,181,NA,14423,1519,290,NA,498,139,151,200,635,570,72,286,75,1035,NA,NA,NA,NA,216,NA,2542,224,128,268,72,138,137,151,825,5684,NA,147,NA,128,NA,113,237,NA,NA,891,314,1762,588,251,63194,193,170,228,671,113,NA,NA,1242,1123,NA,5897,139,778,994,491,600,3345,362,NA,NA,840,394,118,NA,NA,628,369,97,NA,367
NA,NA,254,NA,101,NA,331,NA,304,NA,2978,963,NA,1435,643,NA,NA,NA,4359,91,1238,162,218,149,2396,1331,NA,7706,524,186,NA,1956,1776,NA,238,2768,307,238,2834,NA,2358,218,302,89,233,NA,124,9168,286,NA,1180,121,NA,NA,127,753,2155,546,NA,NA,NA,NA,NA,389,NA,296,90,593,662,946,326,65815,NA,145,NA,NA,506,NA,168,NA,1650,184,4612,NA,1303,1633,NA,439,1927,182,116,424,115,134,NA,333,NA,1723,NA,NA,252,NA
104148,1250,49,2056,25146,4099,4397,5255,2442,56800,32820,6536,NA,127,361,NA,197,708080,NA,NA,11639,275,NA,177,NA,83,53666,NA,2055,NA,12552,129767,NA,4968,30186,2216,4069,13384,496,1007,369,2958,NA,16953,88718,NA,14142,NA,NA,18212,320,3520,447,NA,NA,NA,74490,NA,703,1450,134,1095,NA,5672,919301,864,1556,122,4358,311,NA,4275,8417,NA,205,2406,600708,2486,26330,NA,NA,992,127,48,76,93156,NA,NA,2154,85,53618,9011,NA,1731,34784,NA,1134,NA,NA,2790,328297,809525
NA,NA,3776,NA,NA,NA,NA,NA,NA,1569,555,5611,NA,11145,NA,NA,NA,NA,20583,4854,7808,NA,1876,14682,9393,3961,NA,5518,2204,NA,NA,NA,10862,8090,NA,10773,NA,259,NA,NA,11803,NA,NA,NA,46229,NA,NA,232,669,NA,NA,6083,6879,NA,NA,NA,NA,NA,1455,NA,2272,NA,49307,NA,NA,NA,110,NA,NA,489,21564,NA,NA,NA,NA,NA,3538,NA,NA,NA,10823,NA,9025,5394,20318,24305,NA,NA,15263,20727,NA,NA,3264,NA,NA,NA,NA,NA,NA,NA,912,10729
714,15623,4743,34629,640,177,685,292,23878,1433,49532,14786,158,8308,22327,22596,235,491,110575,55514,12978,2822,4453,8931,70413,4468,NA,335884,19072,11740,3206,14670,1783,1307,5771,15766,568,83,21523,4928,22158,144,247,NA,NA,5807,NA,42638,6252,NA,10726,119,NA,3361,160,11043,127305,907,1264,6533,2464,1703,148,NA,NA,627,15946,NA,30988,17150,7762,1577332,3746,1888,2652,9430,397,NA,128,27815,20829,NA,137034,4144,17533,15637,10321,11608,77279,8809,8939,5079,3862,1907,5881,2796,NA,20429,7056,7198,2861,1379
NA,NA,NA,105,259,77114,2137,4137,3120,28832,NA,NA,NA,616,2779,1,336,80154,NA,209,1157,3341,549,616,1308,NA,2024,NA,343,NA,1130,15595,NA,221,492,NA,17767,NA,101220,1615,NA,4781,110527,113581,4034,166,7708,462,54,115046,NA,618,52,429,3774,3196,195,NA,264,29922,999,112,NA,3724,32920,19676,32543,47863,NA,NA,NA,5633,356,NA,51336,2259,NA,NA,53698,43982,188,10030,NA,NA,NA,NA,46106,149,NA,NA,NA,110,961,10286,64949,128039,333,NA,8254,25992,NA,NA
341,17922,4263,23994,202,NA,NA,NA,31225,343,63204,18591,200,10374,19225,26000,155,NA,108830,NA,14727,1547,5550,9858,77873,3588,NA,404080,21473,13890,403,17465,1608,418,7431,16165,365,NA,27171,5979,25946,NA,NA,NA,NA,8847,NA,52553,7137,NA,13454,NA,NA,2042,NA,13544,145768,369,1020,2901,1770,NA,NA,NA,NA,314,10766,NA,36042,19913,8469,1309682,2023,1866,2025,12023,114,NA,NA,24229,25064,NA,173415,3422,19784,18225,8179,14052,70046,8164,8453,4333,5815,2033,6485,2039,NA,25477,8449,6033,2240,1035
NA,5506,NA,NA,647,NA,NA,NA,NA,675,NA,NA,138,83999,247,NA,NA,2755,1282,34930,10947,NA,3557,34569,36033,69513,NA,9722,NA,13693,1084,NA,28419,1827,NA,66119,NA,NA,209,NA,18830,NA,NA,3175,NA,NA,NA,2900,125,NA,NA,434,NA,NA,NA,1134,NA,2622,1578,NA,977,NA,NA,NA,NA,NA,NA,NA,NA,2463,32365,NA,425,NA,NA,NA,18122,NA,NA,NA,25229,NA,153,37051,1516,96997,NA,36941,126,24266,NA,NA,700,NA,NA,NA,NA,NA,529,NA,NA,NA
NA,55,NA,NA,2713,585487,59088,1603,3,6537,2624,5,NA,NA,NA,11300,38,948,NA,111,1,NA,NA,NA,NA,3,59,NA,1,NA,11217,53253,2,NA,NA,11,9658,NA,138614,NA,347,30674,206050,440961,84100,1,56383,NA,NA,432588,NA,NA,NA,NA,56947,NA,3112,382,NA,5129,NA,8599,163,243040,4676,379347,3650,78488,677,103,NA,497603,NA,NA,2375306,9856,31402,422158,58741,112894,NA,1458327,1,496,NA,NA,10015,NA,NA,NA,NA,404,4,170799,306407,94170,9,28197,NA,10950,43935,552
51002,297,4411,163549,128914,NA,NA,18243,22206,1593,13909,16405,18213,56712,133226,5932,29187,NA,950,19211,10530,10696,23782,13336,152338,21702,NA,7517,23050,9676,3147,6190,35001,22495,52570,3473,18180,31501,NA,673242,10140,NA,NA,NA,NA,121600,NA,109804,40554,NA,20609,1395733,31975,12048,NA,128409,136794,2184,279466,20236,1108741,108525,NA,NA,NA,NA,NA,NA,5383,18261,15234,1002727,145691,89746,NA,10471,10096,NA,NA,NA,11008,NA,114,NA,21740,NA,63532,56888,57479,25626,7835,7755,26225,NA,NA,NA,71831,1064,29530,NA,2588,3573
847,1940,NA,4199,3310,3572870,60608,31402,1628,72295,27081,2543,5355,NA,NA,494,569,40835,158,330,5320,110,NA,408,437,116,13666,NA,85,NA,10268,14934,NA,NA,20572,NA,79123,5079,1136797,NA,2968,12877,70305,106679,449688,NA,23585,100,575,328143,8343,23660,2611,4972,69863,130042,21589,5665,3443,47267,343,74642,36395,555563,17770,76971,24383,127366,3047,2814,905,82662,875,14834,119175,5474,181530,37658,193530,144171,NA,289642,98,7037,4045,297,65494,NA,NA,NA,NA,13022,192,53930,168938,35802,7703,1533,81212,59770,4889,273
1859,NA,NA,NA,1410,38235,39475,NA,388,6264,7857,7256,NA,NA,715,3131,2724,2746,NA,NA,NA,870,NA,NA,6212,NA,537,NA,NA,NA,1886,2995,NA,NA,7113,NA,12675,367,37625,7145,NA,8612,11061,15875,26636,NA,10625,NA,NA,37557,16346,8125,5071,4017,85517,8629,3050,373,NA,9594,4244,8037,NA,63046,4464,22089,10873,61236,2054,NA,NA,47631,736,4946,96050,7781,15080,25833,40216,67097,NA,87182,NA,NA,NA,NA,3119,NA,NA,NA,NA,1890,NA,48583,53401,55473,2612,266,1139,24662,NA,NA
15028,25051,11368,3393,3226,1006,NA,3784,816,1313,1897,18853,2076,6849,3987,759,2199,1085,4277,7714,8037,2484,28316,4209,13407,30682,1131,8069,9214,50585,41029,9886,1321,3600,6573,828,4077,3131,8789,7090,15190,618,1363,1107,2289,10932,1542,30030,22655,1471,2728,5189,7211,2560,612,4804,25711,3456,5795,643,4951,2957,2651,609,638,1620,1492,754,6180,108376,17033,2408,3746,9258,2320,4105,821,2633,853,89,6111,473,4568,3606,52380,8827,1520,21495,32549,8433,1328,1126,39980,892,1891,2095,772,12391,3408,786,15291,573
14607,11280,10620,32991,8542,10183,NA,56542,16957,33549,607,12719,2681,8161,33232,10191,53243,3789,9442,33505,7232,19432,58974,10161,15773,38904,NA,6769,23992,15633,3872,NA,2464,12135,15947,31234,NA,3,95135,10883,25209,NA,NA,14079,NA,46718,NA,34662,23098,NA,35537,11447,17501,13079,NA,3801,16389,7361,10768,31880,10047,23922,NA,NA,405,NA,33095,NA,661,16306,1356,150,6901,18004,NA,NA,4,NA,13940,22856,6824,NA,24197,18047,9596,13596,88729,48007,1845,8090,896,9798,49892,NA,NA,NA,19197,6872,22705,4481,NA,NA
367,9809,961,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,207,168,NA,NA,NA,NA,1193,642,NA,3400,NA,4553,2828,NA,3554,3006,7288,7857,109,NA,324,NA,NA,NA,NA,601,NA,NA,NA,NA,NA,NA,216,NA,6675,4343,NA,NA,NA,558,NA,NA,NA,10217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049,33007,5258,NA,NA,1117,NA,NA,NA,NA,NA,NA,136,NA,NA,112,21395,306,NA,8596,11842,1665,NA,NA,808,NA,NA,NA,NA,1694,NA,NA,6590,NA
2200,NA,81,6516,2228,528762,11371,32759,436,12807,13314,2702,2372,NA,4025,3646,1180,5201,NA,NA,2003,NA,NA,NA,1507,NA,3490,NA,NA,NA,4486,21334,142,NA,28326,NA,11719,1795,240955,7951,7648,12226,4990,38911,65449,475,195,747,567,39656,19964,17680,8016,3424,22308,65663,23066,3165,1422,23772,6901,31357,11471,129463,1649,27181,17007,18120,1346,NA,NA,36705,3021,11136,152132,10360,18921,17419,33356,53195,NA,86181,NA,NA,312,NA,36502,128,773,NA,NA,15903,NA,18973,35408,4005,6172,771,23443,15028,610,NA
277612,734903,353793,71143,53363,14923,9065,143779,15707,23797,25804,95537,23496,212132,83114,13277,58828,13822,64379,198815,178408,93201,430441,99592,336094,633203,23381,310341,211177,612018,484921,124654,41835,118342,61648,37530,32757,39569,189881,88129,472580,67811,16778,12531,4834,217496,20499,887069,617913,23190,46066,74874,151433,23347,13038,58769,697500,39466,22394,10074,50526,38531,94005,19618,226204,17776,18758,11011,213487,2783939,407489,33842,93958,316786,38448,37952,13737,370585,NA,8709,125124,12008,68877,181492,1266014,165889,38373,519727,892278,186981,67946,22427,530366,31128,91521,11507,13296,218265,79296,30791,575574,15645
103488,2966,14410,247139,231481,NA,NA,51947,63896,9428,38982,44249,52579,110024,202195,17135,66513,NA,6809,54283,30910,32867,57455,36858,259859,56379,NA,21771,53983,26952,18314,20881,82732,54975,112385,15774,46588,76016,NA,819555,32833,NA,329,NA,NA,214415,NA,171803,93121,NA,47151,1783244,72439,40118,NA,239177,221527,8630,368215,54232,1232220,190602,NA,NA,NA,NA,NA,NA,18333,49296,41356,1228524,223414,157621,NA,38695,30663,NA,NA,NA,31918,NA,1194,13139,57035,2988,128737,105083,106393,62143,23142,24579,63524,NA,NA,NA,133977,8005,70397,NA,15232,16300
NA,NA,NA,NA,NA,621359,79001,172,26,29063,849,395,160,419,509,NA,NA,8772,NA,NA,328,1,310,122,2763,48,NA,NA,954,NA,4633,7425,NA,312,6935,3,12820,177,97496,NA,NA,28256,19247,72344,134294,NA,39183,235,NA,91162,4523,147,134,NA,30794,2022,13540,6,NA,18248,460,10831,NA,98720,NA,37029,8530,39299,NA,114,NA,19680,167,694,24967,62,53093,16544,22969,60539,150,171056,2,138,176,NA,6873,447,NA,23,NA,9917,NA,54200,63562,24999,NA,NA,8937,75456,NA,2
17510,17072,7721,11864,21135,9457,NA,102105,46015,64705,2238,37676,11940,11478,31050,24039,96754,3063,33934,34345,20615,42450,76523,7298,52918,55656,NA,14977,60189,36534,3391,1104,9668,26445,29572,16252,NA,69,76556,17768,25140,NA,NA,38245,NA,69874,NA,10969,52874,NA,65788,30765,20633,22578,NA,4469,22444,11146,10865,55322,21713,35351,NA,NA,3401,NA,46146,NA,3365,12429,6524,2166,12444,24491,317,NA,NA,2024,6020,26385,5511,NA,10105,21703,4807,9606,84900,28600,15649,5481,3105,18749,13469,NA,654,559,27805,21336,23962,12805,NA,1853
6970,4180,6887,13567,5930,2741216,159687,66194,4772,110446,46276,15430,4634,16756,15997,1243,8913,61999,5070,1813,10390,4714,12754,7285,29641,13449,17999,3372,10433,4294,14154,51587,14000,9156,51271,7172,86817,4882,413856,15202,7479,15829,64378,218903,335256,8707,100794,19200,13073,319728,51520,22210,7878,5086,85335,162463,82911,3985,6776,81555,15029,152625,18095,441874,9215,96255,64265,91136,7895,11360,3410,60031,9717,26793,154476,19949,127673,47544,123585,139832,11840,198616,8794,4108,9825,124,77027,16404,13153,6108,376,41883,13145,170394,172953,61963,3342,1632,75383,154365,5828,NA
125819,1087,12228,382120,382011,NA,NA,49925,60784,4981,42118,41538,55332,144687,342793,9808,67801,NA,5634,55037,30531,26918,62139,35959,329955,62299,NA,21009,63772,35933,14904,15881,95008,44110,146463,12543,50238,81892,NA,1262322,30097,NA,NA,NA,NA,384760,NA,289190,108278,NA,55500,3255527,84178,34562,NA,261666,349274,6126,718673,52810,2612321,255823,NA,NA,NA,NA,NA,NA,11580,52947,37734,2158570,412437,242433,NA,23961,36741,NA,NA,NA,28657,NA,436,8247,56941,NA,160505,150866,175743,65242,21219,19630,73948,NA,NA,NA,171405,4285,92453,NA,6592,8441
83655,8810,21710,266151,46657,9594618,238170,952156,90175,297449,355021,30948,103540,18842,19069,22370,21963,193576,7522,10536,78442,2914,16663,11571,73674,10269,537646,11510,9105,5373,56722,120286,19522,13407,181764,1184,226211,153640,1848077,445716,23572,23303,159693,381861,517541,37117,66302,28312,10692,551494,156806,125821,166790,30184,357398,1488088,238936,101856,90895,489690,113802,895913,501442,1404384,124303,441910,260345,288569,36266,18364,47903,137303,159286,452341,84184,163185,259601,152061,495289,457699,14574,403495,5819,8331,169069,2116,418062,12194,26219,6514,11034,176485,9401,288502,539172,108972,367510,56351,535240,347420,173108,4168
12702,26171,4348,92,1597,1553,NA,1046,575,1231,5630,2341,1528,108,193,198,NA,3900,465,3047,114,765,3581,691,3972,2116,NA,413,1988,3044,3262,147,NA,NA,448,NA,228,6293,311,5312,1095,1044,NA,1442,NA,4391,NA,12581,3404,217,1976,12154,3016,2073,NA,2526,12832,1523,2393,303,4048,4037,5926,NA,NA,3034,921,NA,38081,12375,3728,1632,3801,2248,2117,533,2681,NA,2982,617,NA,NA,139,NA,12622,1556,NA,6439,3046,NA,4155,1720,19327,140,4213,NA,505,51342,881,NA,12309,NA
6849,13650,4800,74,126,NA,NA,NA,NA,122,184,8586,NA,2631,127,NA,NA,NA,NA,2354,2867,NA,16208,525,8506,19142,NA,2230,4054,33708,24515,4459,NA,217,241,83,NA,NA,2182,2187,6291,NA,NA,NA,NA,4116,NA,20515,14030,NA,NA,742,2413,13,NA,418,14962,NA,641,NA,540,NA,NA,NA,NA,NA,NA,NA,946,71775,6512,NA,415,3753,NA,NA,NA,NA,NA,NA,2329,NA,305,1300,33383,2335,NA,11977,18824,4552,NA,NA,26314,28,NA,NA,NA,4938,NA,NA,6300,NA
140834,253005,148187,37008,33925,5180,NA,80160,5782,6453,11194,53617,11382,104434,51573,3726,38737,4137,29850,103738,104843,45539,195045,59613,150581,239531,5548,154079,112996,223630,194405,70143,20088,65979,35491,22283,3077,22917,103594,55827,216526,35873,NA,3159,NA,120823,NA,282990,223117,2355,19241,47026,92161,12227,NA,27713,213246,15994,16975,5954,27030,16501,48081,1067,NA,8291,8118,402,99431,431267,183408,22629,59083,168679,6028,9673,2909,NA,165,3570,65388,NA,44095,47130,339357,86070,22133,213749,280638,106553,1752,9025,226262,178,3981,NA,6899,116611,22145,2243,229427,348
1825,2874,5639,29,482,1163914,25913,71794,410,2967,1808,1697,3323,13296,16462,885,2353,2602,17966,7783,9977,7907,5292,11520,14497,10012,1480,12296,7226,4497,4771,7571,6423,9885,14296,5374,14539,204,901836,2171,8007,12451,11073,12010,26466,5107,17866,9431,6849,37998,35265,3371,614,4608,66788,3933,12681,9184,8127,12821,1697,12488,2191,130930,1934,28588,14185,15895,1816,5068,6197,29659,1146,1566,126932,8075,20075,15800,36137,40229,10089,40700,5430,7084,5913,112,14466,8249,9933,4774,100,8492,5536,40379,31418,11337,885,82,6835,20854,3499,1763
112670,207106,115849,32964,25812,3138,NA,83085,3336,3995,6491,50212,7820,80609,46951,190,29110,1858,27347,91321,74199,35445,138296,48184,98531,162500,4991,133472,79910,155632,158819,54967,15959,54142,29012,18663,1476,21411,87628,46287,171375,36256,NA,1928,NA,115378,NA,209876,174255,3666,12047,38893,79213,8267,NA,22204,137439,10557,8012,2376,19232,11529,54400,NA,NA,6922,5725,903,83919,283200,149180,20414,45234,125325,2327,4588,1041,NA,1849,1126,57258,NA,46331,41810,251085,78682,15695,156840,211178,84452,234,6425,208087,403,1535,NA,5544,99102,16507,156,205220,NA
NA,3604,NA,2031,304,245528,8044,29093,308,4931,3683,4826,NA,NA,NA,NA,1474,600,769,NA,367,NA,NA,293,5485,NA,2817,NA,NA,NA,NA,4550,NA,NA,10880,NA,496,3095,112476,8808,734,193,2743,9782,8084,NA,1910,NA,NA,18294,1242,5649,9227,NA,9419,25103,6428,436,NA,6858,NA,13746,NA,14058,NA,4294,10221,1087,NA,NA,NA,5294,2820,7023,6546,1423,4862,1094,3170,9091,NA,1007,NA,NA,523,NA,9944,NA,NA,NA,NA,1212,NA,10951,5298,NA,2454,7880,4352,1153,2202,NA
NA,NA,2189,8774,3882,1723681,131342,102705,120755,764825,3449,6569,6300,2865,2583,54236,NA,1892968,NA,567,53918,2476,1812,1224,23586,2743,116735,4676,1517,301,3443,436155,6620,NA,NA,105,616817,10108,2814859,NA,1576,188522,2866790,2478245,146504,1043,292415,212,8623,2852845,32860,42367,661,29394,184982,96509,7077,16433,NA,837389,2164,5633,NA,239436,948849,565262,835810,1233964,3529,805,12606,178692,9257,NA,1426990,115287,40098,734,1223846,1129227,155,360511,207,92,260,128,1094693,5433,NA,108,NA,53953,3457,346680,1553326,3293390,3972,NA,271218,803396,38435,8509
170,853,220,1796,2576,2598,NA,NA,369,283,835,NA,NA,4612,3026,NA,152,13202,NA,119,4408,NA,251,173,7567,1785,NA,2334,4940,2811,1324,381,7771,NA,172,979,NA,NA,NA,NA,NA,NA,621,10335,NA,NA,NA,7016,2584,NA,1251,6980,7128,NA,NA,423,9281,NA,5524,NA,1935,65116,NA,NA,NA,NA,NA,NA,712,1108,476,3369,NA,NA,NA,143,23738,NA,179,NA,8148,NA,7815,2343,502,25357,NA,10462,NA,5497,9852,NA,606,NA,NA,NA,NA,NA,1536,281,NA,866
36283,89259,45850,5852,2425,150,NA,17175,1746,NA,NA,10132,851,35250,19197,NA,5128,NA,6360,22881,24853,6254,36560,8748,46677,61705,NA,31714,21674,44027,60093,10655,4981,17394,4629,5271,NA,4186,27032,7516,59308,5187,NA,NA,NA,19010,NA,94356,77466,NA,3813,7870,20935,1855,NA,4623,72700,7876,755,NA,4305,2848,9068,48,NA,255,655,NA,17121,184990,56475,2385,7976,34065,NA,682,143,NA,NA,NA,18592,NA,8240,10062,124498,22222,193,64179,77330,26037,NA,3129,62043,NA,NA,NA,642,25580,2370,NA,70717,237
2278,5896,4092,6472,5518,7400,8597,9275,5692,5587,8061,7211,6751,4430,4082,6398,7419,8946,5342,3745,3925,4095,5900,5714,5730,5050,11086,7885,4634,7120,4962,5537,4134,4377,6279,5415,7670,27612,6977,6142,5182,5068,11167,15234,13537,8229,31445,4908,5631,11440,5239,5535,7159,9923,8955,7537,2892,5388,3979,17780,5586,7666,9273,6627,12364,11837,4293,18633,6676,5852,8345,7710,6029,5581,9688,5796,8822,5991,6990,9527,4692,13623,4924,8394,4435,7397,9170,5275,7517,6922,14038,5320,4634,19616,40823,7909,9552,14300,10347,5289,11977,11353
1776,3573,179,NA,225,96455,4422,5944,9101,77164,937,231,5999,4801,3889,NA,NA,71069,3445,158,527,164,1760,6118,10520,2286,1837,2959,8500,988,NA,58207,3535,35603,28226,2801,79536,NA,89637,NA,418,13760,215042,95398,6162,NA,23339,900,2950,165730,1560,4571,189,3964,7489,4726,3553,7468,7538,92608,NA,2476,NA,17137,111972,74452,84250,129122,198,708,18984,26475,NA,NA,126276,16402,2068,NA,114614,92718,1161,35334,993,229,493,NA,108062,1045,12411,763,4157,921,654,34250,146697,232713,NA,NA,32060,87878,NA,NA
NA,8710,2682,10121,14942,3298,1029,2367,2761,NA,166,2456,1037,2667,4334,1767,3285,13264,1711,460,1429,1641,4466,1679,703,1922,406,2629,2849,994,573,3325,4053,979,2139,2920,1118,262,994,2941,806,NA,50169,6486,1995,4049,643,8261,5428,1126,4844,6737,6817,890,1577,3124,9364,2324,2477,1526,361,64297,204,2831,2065,181,1635,1568,2054,1279,2681,2918,310,1083,1721,815,9748,2099,20230,5017,3274,683,8227,NA,5556,1121,2363,13610,3489,2352,22573,5921,9858,1815,1300,3317,700,3776,527,2124,1739,1901
5552,171,1258,4420,6377,918,NA,1009,5085,NA,NA,2121,1539,6963,10847,NA,2378,NA,214,1987,1189,964,6542,472,12581,2791,NA,488,2337,628,NA,194,5356,3777,10881,322,NA,NA,190,10975,998,NA,313,NA,NA,17088,NA,14328,6017,NA,21180,14297,4917,398,NA,12004,5733,200,4960,2562,3150,4440,NA,NA,NA,NA,417,NA,NA,2961,1978,26144,15657,3349,NA,247,NA,NA,NA,NA,5216,NA,452,NA,2274,NA,7625,11394,6808,1746,NA,NA,2061,NA,NA,NA,10113,NA,NA,240,NA,NA
10936,26534,12853,NA,NA,NA,NA,2258,NA,NA,NA,959,NA,5711,1310,NA,429,NA,NA,4591,3613,393,16288,1298,7452,24379,NA,9126,9569,21714,17935,1736,NA,712,NA,NA,NA,NA,2674,1571,14585,NA,NA,NA,NA,3930,NA,33397,22803,NA,NA,321,3792,NA,NA,NA,25538,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,3388,70085,12316,NA,366,10986,NA,NA,NA,NA,NA,NA,770,NA,360,1160,54400,2578,NA,14415,28488,1724,NA,NA,17010,NA,NA,NA,NA,5101,NA,NA,19968,NA
NA,1371,NA,522,NA,NA,NA,NA,NA,NA,NA,NA,3385,964,1196,1094,NA,146,NA,6985,NA,219,8559,1193,1188,740,NA,3040,154,217,NA,413,6540,2959,2702,NA,NA,NA,NA,2598,8563,5299,NA,NA,NA,NA,NA,449,763,NA,9094,21238,NA,NA,NA,7208,2250,NA,NA,5337,314,175,NA,NA,NA,NA,192,NA,3771,NA,595,1484,NA,NA,8103,NA,178,NA,NA,NA,3914,NA,840,238,NA,5798,NA,2256,NA,223135,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,8716,NA
6261,NA,1138,12211,12195,NA,NA,4581,5294,NA,361,1960,4596,5121,11146,241,5182,NA,NA,4609,2712,2275,5021,2549,10409,5557,NA,897,5130,550,NA,617,6291,2615,7295,588,4518,3091,NA,5937,2346,NA,NA,NA,NA,14376,NA,10083,6219,NA,4590,12323,6784,2020,NA,4986,9046,206,11227,3694,11767,19863,NA,NA,NA,NA,NA,NA,1766,3765,2060,10309,10150,8148,NA,1419,NA,NA,NA,NA,3078,NA,229,NA,4625,NA,9596,8294,6867,3882,532,2469,6120,NA,NA,NA,5451,NA,2381,NA,244,832
25642,84228,37245,1301,830,NA,NA,10289,NA,NA,NA,3713,NA,16863,4321,NA,1309,NA,1024,13719,11664,2623,34331,4192,28287,60854,NA,28659,16413,63718,48691,6207,435,3336,943,3075,NA,NA,15450,4688,42649,724,NA,5255,NA,14172,NA,89567,62582,NA,172,4370,10666,NA,NA,1310,78178,NA,NA,NA,1236,185,3910,NA,NA,NA,NA,NA,14881,334939,36676,241,4734,28899,NA,NA,NA,NA,NA,NA,7194,NA,3750,6514,149076,12750,NA,49845,99519,14703,NA,NA,50819,NA,NA,NA,NA,16173,266,NA,61030,NA
